Student ID,Name,Gender,GPA,Height,Weight
202038411,Pamela Kwak,Female,3.36,160.3,55.2
202637934,Sungmin Chae,Male,3.6,177.3,67.6
202151501,Jungkook Won,Male,2.69,169.5,67.9
202005139,Mina Son,Female,2.68,158.6,58.0
202210274,Yixing Young,Male,2.85,176.4,80.4
202146512,Rachel Clark,Female,2.86,165.4,55.1
202676725,Kazuha Walker,Female,2.2,159.3,51.1
202427642,Andrew Gonzalez,Male,3.28,176.7,73.7
202383664,Margaret Jones,Female,2.67,164.5,55.8
202610501,Jennie Hong,Female,1.93,156.4,46.0
202082600,Margaret Kwon,Female,3.69,167.1,53.6
202552767,Laura Robinson,Female,3.32,161.8,53.2
202561337,Donald Baker,Male,2.7,172.8,57.0
202621869,Hanni Won,Female,4.03,166.7,55.1
202404485,Tiffany Robinson,Female,3.27,158.2,47.9
202010476,Seunghoon Phillips,Male,3.33,174.3,72.8
202426235,Jinyoung Ryu,Male,3.17,182.5,82.3
202217046,Taejun Young,Male,4.03,176.9,74.0
202056229,Haechan Walker,Male,2.94,175.6,76.5
202608826,Haechan Cha,Male,2.56,183.4,78.2
202592316,Jongdae Moore,Male,3.69,174.6,67.7
202684548,Melissa Torres,Female,3.18,161.6,38.6
202360050,Chaeyoung Huh,Female,2.87,171.5,61.4
202375272,Carol Kang,Female,4.3,150.8,49.0
202645583,Hyunwoo Ahn,Male,3.16,167.2,68.0
202083137,Joshua Ko,Male,3.51,181.4,72.8
202050248,Nancy Seo,Female,3.6,164.1,61.5
202005837,Taeyeon Anderson,Female,2.58,162.8,45.7
202498141,Lisa Campbell,Female,2.91,160.2,57.7
202635803,Gregory Robinson,Male,2.96,173.0,77.4
202388515,Minho Robinson,Male,2.35,182.1,72.7
202662706,Jinyoung Son,Male,2.9,173.7,81.6
202175163,Jaemin Jeong,Male,2.66,167.9,58.0
202120463,Terry Anderson,Male,2.59,175.5,67.4
202318893,Lauren Davis,Female,3.52,160.5,50.8
202095422,Larry Han,Male,4.07,172.3,61.2
202503555,Haechan Brown,Male,3.05,168.0,65.1
202613290,Sakura Adams,Female,4.3,154.2,59.1
202411305,Dahyun Yoo,Female,3.89,172.5,61.3
202502877,Douglas Seo,Male,3.14,178.3,86.9
202526220,Nayeon Eom,Female,4.27,156.1,38.9
202455904,Jinyoung Baker,Male,3.85,178.0,78.8
202675670,Margaret Flores,Female,3.06,166.1,53.8
202272778,Christina Taylor,Female,3.43,163.0,50.1
202035592,Eunwoo Chae,Male,2.82,180.3,75.8
202636492,Stephen Kwon,Male,2.96,175.8,83.7
202407286,Irene Phillips,Female,3.84,167.9,49.8
202621670,Danielle Jin,Female,3.3,158.8,63.6
202691775,Ronald Adams,Male,2.37,176.7,78.7
202496424,Anthony Gonzalez,Male,3.79,167.7,61.5
202361112,Yuri White,Female,2.84,156.8,50.6
202168082,Sakura Lim,Female,3.86,153.1,44.0
202084135,Mina Kwak,Female,4.09,160.9,66.3
202176833,Patrick Park,Male,4.03,181.9,73.5
202360905,Shirley Nam,Female,3.63,164.1,65.0
202334883,Ningning Young,Female,2.66,158.5,47.7
202661448,Yujun Hill,Male,3.09,173.6,65.2
202434594,Olivia Roberts,Female,3.33,169.1,56.5
202035061,Soyeon Jin,Female,3.13,160.5,54.9
202119809,Michael Young,Male,3.61,172.3,61.7
202644045,Jose Phillips,Male,3.34,172.1,67.4
202488051,Jiwoo Campbell,Female,3.87,160.1,51.4
202424920,Amanda Gomez,Female,3.49,155.8,38.7
202661094,Minho Young,Male,3.98,169.9,73.8
202491413,Jiho Campbell,Male,2.85,166.5,59.2
202603567,Evelyn Ko,Female,2.84,162.8,49.9
202369797,Michael Taylor,Male,2.13,164.9,64.4
202597471,Kimberly Moon,Female,4.07,167.7,46.1
202249789,Rowoon Song,Male,2.46,171.9,64.9
202047830,Nicholas Martin,Male,2.99,169.1,65.2
202377278,Edward Jang,Male,3.23,171.8,75.3
202249109,Liz Woo,Female,4.3,154.7,53.1
202427129,Yoongi Lee,Male,3.51,167.0,66.2
202192656,Patricia Adams,Female,2.6,161.4,45.5
202634166,Sunny Choi,Female,2.69,169.7,50.6
202250369,Amy Kim,Female,3.29,163.6,55.5
202519964,Leeseo Hall,Female,3.65,160.6,49.7
202606812,Jimin Won,Male,3.9,173.4,87.9
202054142,Mino La,Male,3.32,173.9,68.9
202365064,Taehyung Nam,Male,4.17,168.6,67.1
202245669,Jeremy Garcia,Male,3.0,178.3,63.8
202221272,Haechan Chung,Male,3.69,164.0,56.5
202689850,Carol Kwak,Female,2.98,157.3,35.1
202575939,Yerim Min,Female,4.3,163.9,50.3
202554917,Jessica Shin,Female,2.39,167.5,50.7
202083622,Jihyo Allen,Female,3.99,158.8,53.9
202068129,Matthew Walker,Male,2.63,167.8,67.3
202042971,Nicholas Kim,Male,3.32,158.7,57.9
202058469,Liz Jackson,Female,4.3,162.4,56.3
202402864,Pamela Chae,Female,2.25,162.6,59.1
202197058,Rosé Roberts,Female,3.21,159.1,38.7
202140635,Lauren Ryu,Female,2.35,156.8,45.1
202523159,Carolyn Seong,Female,2.16,163.6,38.2
202521924,Yixing Hall,Male,3.5,159.8,59.9
202167241,Joonho Jeon,Male,4.18,176.8,62.1
202528073,Haerin Hall,Female,2.67,163.2,67.8
202389932,Sunny Nelson,Female,2.72,168.8,38.1
202618737,Lauren Martin,Female,3.81,164.7,61.0
202403929,Brian Cheon,Male,3.4,180.7,83.1
202169160,Jisoo Ha,Female,3.5,158.8,55.6
202531970,Ethan Nelson,Male,3.31,166.9,68.1
202356053,Yunjin Cho,Female,3.22,165.5,51.8
202034995,Larry Gonzalez,Male,3.71,172.7,54.1
202043907,Kyungsoo Chung,Male,3.54,175.7,73.7
202512233,Ningning Jeon,Female,3.49,166.6,68.9
202657921,Stephanie Moore,Female,3.22,155.8,50.6
202296857,Patrick Garcia,Male,3.35,180.0,76.4
202016563,Karen Walker,Female,3.56,163.6,50.2
202318697,Roger Martin,Male,3.53,178.6,72.9
202402423,Lisa Walker,Female,3.65,157.6,55.1
202538060,Kenneth Robinson,Male,3.44,171.9,71.3
202194904,Linda Shin,Female,3.78,169.2,44.7
202265079,Seoyeon Choi,Female,3.25,163.6,52.9
202112955,Lisa Garcia,Female,3.36,161.8,44.7
202099585,Matthew Cho,Male,4.08,178.0,70.6
202237455,Heather Jin,Female,3.46,163.9,58.1
202150921,Lauren White,Female,4.17,165.0,56.0
202260732,Victoria Hall,Female,3.92,155.2,56.9
202397970,Sungmin Eom,Male,3.59,170.9,72.9
202494641,Eric Ramirez,Male,3.63,178.6,80.0
202546721,Hayoon Jeon,Female,2.88,159.0,53.6
202306122,Sujin Flores,Female,4.3,164.1,57.9
202408021,Sharon Song,Female,3.41,169.9,53.3
202054079,Sieun White,Female,3.52,163.1,69.2
202523889,Joyce Bae,Female,2.98,166.5,58.0
202193541,Catherine Jackson,Female,3.22,168.6,67.7
202558691,Jimin Lopez,Male,2.97,155.1,58.4
202338287,Jiho Lewis,Male,3.28,170.2,79.7
202688793,Sean Han,Male,3.0,174.8,69.7
202170291,Ningning Taylor,Female,3.25,151.7,46.8
202053044,Jungwoo Ko,Male,3.16,180.2,78.9
202647793,Pamela Hall,Female,2.99,166.6,60.6
202350655,Stephanie Johnson,Female,3.38,154.2,55.3
202307029,Tyler La,Male,2.4,163.5,61.1
202213443,Jennie Park,Female,2.83,160.7,48.9
202053812,Brenda Jeon,Female,2.83,160.2,46.4
202458021,Jongdae Ku,Male,3.44,172.2,54.4
202475392,Angela Hill,Female,3.98,156.8,54.0
202322384,Yerim Nelson,Female,3.16,166.5,60.1
202471107,Dorothy Baker,Female,3.94,149.5,40.3
202367319,Nathan Allen,Male,2.71,176.5,70.1
202438623,Junmyeon Son,Male,3.54,185.1,83.9
202578971,Steven Joo,Male,3.77,176.1,84.2
202515493,Seojun White,Male,3.01,170.4,57.1
202070328,Brenda Campbell,Female,2.42,161.7,47.8
202385171,Tiffany Garcia,Female,3.38,158.4,51.7
202432042,Chanyeol Hall,Male,3.11,169.3,69.1
202435248,Patricia Johnson,Female,2.67,160.9,59.6
202335949,Minho Yoo,Male,2.8,173.8,77.0
202080328,Moonbin Won,Male,2.54,175.4,58.3
202381117,Seokjin Park,Male,2.05,170.1,67.7
202506088,Maria Gomez,Female,2.51,166.5,58.6
202264407,Jiho King,Male,2.03,176.5,63.5
202506351,Carl Moon,Male,2.71,182.4,76.3
202319083,Ronald Wright,Male,3.75,175.1,72.5
202568443,Dennis Davis,Male,3.71,179.1,82.6
202032809,Haun Taylor,Female,2.49,156.7,44.4
202153599,Rachel Garcia,Female,1.73,156.5,52.3
202137933,Jihyo Jones,Female,2.76,156.1,47.6
202254696,Matthew Min,Male,4.3,178.0,76.4
202450272,Jimin Clark,Male,4.25,170.1,68.6
202067063,Anthony Song,Male,3.52,160.5,62.4
202580888,Amy Roberts,Female,3.43,155.9,49.8
202222111,Yujun Hernandez,Male,2.27,171.7,70.2
202311613,Joy Perez,Female,3.57,161.9,46.8
202294535,Dawon White,Male,2.39,178.3,84.1
202615754,Yeri Hall,Female,2.82,165.6,59.1
202162554,Andrew Min,Male,2.25,172.7,75.5
202687316,Nicole Young,Female,3.69,164.3,50.5
202062601,Terry Campbell,Male,3.3,175.5,66.2
202572307,Kyle Campbell,Male,1.96,178.2,64.5
202418933,Mina Woo,Female,3.26,165.5,66.7
202227201,Sana White,Female,2.64,164.6,48.8
202062392,Minseok Garcia,Male,3.78,172.5,59.2
202491085,Donald Chung,Male,4.14,167.4,77.9
202280016,Seulgi Robinson,Female,3.06,155.6,47.5
202477801,Karina Scott,Female,3.75,158.0,37.2
202569411,Jongdae Jin,Male,3.01,166.1,68.9
202626656,Amanda Song,Female,2.93,162.8,53.0
202496295,Yoongi Ko,Male,3.04,188.7,78.0
202297950,Michelle Rodriguez,Female,2.75,160.2,52.8
202334499,Giselle Hernandez,Female,2.86,175.8,78.1
202373293,Melissa La,Female,3.51,149.7,47.7
202646969,Emma Miller,Female,2.25,164.1,68.1
202378858,Junmyeon Martin,Male,2.93,173.9,73.5
202641559,Sieun Nelson,Female,2.36,157.0,52.4
202149497,Renjun Kwak,Male,3.13,178.1,69.4
202277020,Seojun Hwang,Male,2.83,179.7,79.0
202397144,Minseok Kwak,Male,2.68,178.0,72.0
202136724,Henry Lim,Male,3.39,166.1,71.3
202401031,Edward Smith,Male,4.3,170.3,57.1
202219765,Renjun Seong,Male,2.33,183.2,79.1
202470711,Jiyoung Moon,Female,2.98,164.7,60.1
202236574,Wendy Won,Female,3.62,156.1,51.9
202517551,Henry Jeon,Male,3.23,176.0,69.3
202191589,Patricia Mitchell,Female,4.3,160.4,48.0
202615088,Inseong Kwon,Male,3.91,185.6,102.4
202605916,Joshua Clark,Male,3.32,166.7,67.8
202228531,Giselle Park,Female,3.05,160.6,57.4
202226436,Linda Jin,Female,3.22,156.8,54.3
202593350,Linda Brown,Female,3.22,154.3,52.5
